#Created with RMG on Sat Dec  6 22:46:19 2025
#pdos0: total, pdos1,pdos2,pdos3: magnetic rhoa#*_a, *_b, *_c: projected on lattice vectors a,b, c#    x[Angstrom]      E[eV]      pdos

  13.099355  -3.980000 6.535583e-02
  13.210367  -3.980000 6.519475e-02
  13.321378  -3.980000 6.503425e-02
  13.432390  -3.980000 6.505932e-02
  13.543401  -3.980000 6.518517e-02
  13.654413  -3.980000 6.525050e-02
  13.765424  -3.980000 6.501428e-02
  13.876436  -3.980000 6.445601e-02
  13.987447  -3.980000 6.373385e-02
  14.098459  -3.980000 6.313971e-02
  14.209470  -3.980000 6.291760e-02
  14.320482  -3.980000 6.311652e-02
  14.431493  -3.980000 6.364078e-02
  14.542505  -3.980000 6.421942e-02
  14.653516  -3.980000 6.467753e-02
  14.764528  -3.980000 6.492624e-02
  14.875539  -3.980000 6.508455e-02
  14.986551  -3.980000 6.529476e-02

   0.000000  -3.970000 6.616305e-02
   0.111011  -3.970000 6.623423e-02
   0.222023  -3.970000 6.616693e-02
   0.333034  -3.970000 6.602744e-02
   0.444046  -3.970000 6.584424e-02
   0.555057  -3.970000 6.569379e-02
   0.666069  -3.970000 6.562811e-02
   0.777080  -3.970000 6.553898e-02
   0.888092  -3.970000 6.540811e-02
   0.999103  -3.970000 6.503251e-02
   1.110115  -3.970000 6.436195e-02
   1.221126  -3.970000 6.349682e-02
   1.332138  -3.970000 6.268834e-02
   1.443149  -3.970000 6.224614e-02
   1.554161  -3.970000 6.220682e-02
   1.665172  -3.970000 6.248786e-02
   1.776184  -3.970000 6.279923e-02
   1.887195  -3.970000 6.284835e-02
   1.998207  -3.970000 6.266849e-02
   2.109218  -3.970000 6.234816e-02
   2.220230  -3.970000 6.212933e-02
   2.331241  -3.970000 6.216108e-02
   2.442253  -3.970000 6.245544e-02
   2.553264  -3.970000 6.296617e-02
   2.664276  -3.970000 6.340954e-02
   2.775287  -3.970000 6.361217e-02
   2.886299  -3.970000 6.358196e-02
   2.997310  -3.970000 6.338474e-02
   3.108322  -3.970000 6.310501e-02
   3.219333  -3.970000 6.267561e-02
   3.330345  -3.970000 6.197024e-02
   3.441356  -3.970000 6.092915e-02
   3.552368  -3.970000 5.965107e-02
   3.663379  -3.970000 5.847240e-02
   3.774391  -3.970000 5.777108e-02
   3.885402  -3.970000 5.767819e-02
   3.996414  -3.970000 5.814648e-02
   4.107425  -3.970000 5.887019e-02
   4.218437  -3.970000 5.950788e-02
   4.329448  -3.970000 5.989723e-02
   4.440459  -3.970000 6.001454e-02
   4.551471  -3.970000 6.008164e-02
   4.662482  -3.970000 6.019141e-02
   4.773494  -3.970000 6.033254e-02
   4.884505  -3.970000 6.047471e-02
   4.995517  -3.970000 6.042790e-02
   5.106528  -3.970000 6.015661e-02
   5.217540  -3.970000 5.971092e-02
   5.328551  -3.970000 5.919635e-02
   5.439563  -3.970000 5.881024e-02
   5.550574  -3.970000 5.852312e-02
   5.661586  -3.970000 5.825481e-02
   5.772597  -3.970000 5.782863e-02
   5.883609  -3.970000 5.710926e-02
   5.994620  -3.970000 5.626680e-02
   6.105632  -3.970000 5.560269e-02
   6.216643  -3.970000 5.539313e-02
   6.327655  -3.970000 5.570999e-02
   6.438666  -3.970000 5.635802e-02
   6.549678  -3.970000 5.700328e-02
   6.660689  -3.970000 5.737245e-02
   6.771701  -3.970000 5.744689e-02
   6.882712  -3.970000 5.742844e-02
   6.993724  -3.970000 5.760379e-02
   7.104735  -3.970000 5.808976e-02
   7.215747  -3.970000 5.883773e-02
   7.326758  -3.970000 5.965518e-02
   7.437770  -3.970000 6.026950e-02
   7.548781  -3.970000 6.063724e-02
   7.659793  -3.970000 6.083596e-02
   7.770804  -3.970000 6.104592e-02
   7.881816  -3.970000 6.131001e-02
   7.992827  -3.970000 6.151161e-02
   8.103839  -3.970000 6.153738e-02
   8.214850  -3.970000 6.125425e-02
   8.325862  -3.970000 6.071607e-02
   8.436873  -3.970000 6.004988e-02
   8.547884  -3.970000 5.949922e-02
   8.658896  -3.970000 5.919459e-02
   8.769907  -3.970000 5.907846e-02
   8.880919  -3.970000 5.895451e-02
   8.991930  -3.970000 5.847940e-02
   9.102942  -3.970000 5.766194e-02
   9.213953  -3.970000 5.669626e-02
   9.324965  -3.970000 5.603179e-02
   9.435976  -3.970000 5.598981e-02
   9.546988  -3.970000 5.655969e-02
   9.657999  -3.970000 5.751969e-02
   9.769011  -3.970000 5.835195e-02
   9.880022  -3.970000 5.883366e-02
   9.991034  -3.970000 5.897045e-02
  10.102045  -3.970000 5.902668e-02
  10.213057  -3.970000 5.929294e-02
  10.324068  -3.970000 5.979000e-02
  10.435080  -3.970000 6.045312e-02
  10.546091  -3.970000 6.100804e-02
  10.657103  -3.970000 6.128591e-02
